id,isbn,statusKetersediaan,createdAt,updatedAt
1,978-623-448-048-1,1,"2022-04-20 08:23:48","2022-04-20 08:23:48"
2,978-623-448-048-1,1,"2022-04-20 08:23:50","2022-04-20 08:23:50"
3,978-623-448-048-1,1,"2022-04-20 08:23:52","2022-04-20 08:23:52"
4,978-623-448-048-1,1,"2022-04-20 08:23:53","2022-04-20 08:23:53"
5,978-623-329-815-5,0,"2022-04-20 08:25:31","2022-04-20 09:16:54"
6,978-623-329-815-5,1,"2022-04-20 08:25:32","2022-04-20 08:25:32"
7,978-602-343-731-3,0,"2022-04-20 08:28:49","2022-04-20 09:16:43"
8,978-602-343-731-3,1,"2022-04-20 08:28:54","2022-04-20 08:28:54"
9,978-602-343-731-3,1,"2022-04-20 08:28:59","2022-04-20 08:28:59"
10,978-602-343-731-3,1,"2022-04-20 08:29:00","2022-04-20 08:29:00"
11,978-602-343-731-3,1,"2022-04-20 08:29:01","2022-04-20 08:29:01"
12,978-602-05-2945-5,0,"2022-04-20 08:30:00","2022-04-20 09:09:49"
13,978-602-05-2945-5,0,"2022-04-20 08:30:01","2022-04-20 09:17:51"
14,978-602-397-658-4,1,"2022-04-20 08:30:48","2022-04-20 08:30:48"
15,978-602-397-658-4,1,"2022-04-20 08:30:49","2022-04-20 08:30:49"
16,978-623-421-188-7,1,"2022-04-20 08:32:06","2022-04-20 08:32:06"
17,978-623-421-188-7,1,"2022-04-20 08:32:07","2022-04-20 08:32:07"
18,978-623-421-188-7,1,"2022-04-20 08:32:08","2022-04-20 08:32:08"
19,978-623-421-188-7,1,"2022-04-20 08:32:09","2022-04-20 08:32:09"
20,978-623-421-188-7,1,"2022-04-20 08:32:09","2022-04-20 08:32:09"
21,978-623-421-188-7,1,"2022-04-20 08:32:10","2022-04-20 08:32:10"
22,978-623-353-204-4,1,"2022-04-20 08:33:17","2022-04-20 08:33:17"
23,978-623-353-204-4,1,"2022-04-20 08:33:18","2022-04-20 08:33:18"
24,978-623-353-204-4,1,"2022-04-20 08:33:18","2022-04-20 08:33:18"
25,978-623-353-204-4,1,"2022-04-20 08:33:19","2022-04-20 08:33:19"
26,978-623-353-204-4,1,"2022-04-20 08:33:20","2022-04-20 08:33:20"
27,978-623-353-204-4,1,"2022-04-20 08:33:20","2022-04-20 08:33:20"
28,978-623-353-204-4,1,"2022-04-20 08:33:21","2022-04-20 08:33:21"
29,978-623-99651-2-9,1,"2022-04-20 08:36:27","2022-04-20 08:36:27"
30,978-623-353-173-3,1,"2022-04-20 08:37:35","2022-04-20 08:37:35"
31,978-623-353-173-3,1,"2022-04-20 08:37:36","2022-04-20 08:37:36"
32,978-623-353-173-3,1,"2022-04-20 08:37:37","2022-04-20 08:37:37"
33,978-623-353-173-4,1,"2022-04-20 08:39:57","2022-04-20 08:39:57"
34,978-623-353-173-4,1,"2022-04-20 08:40:04","2022-04-20 08:40:04"
35,978-623-353-173-5,1,"2022-04-20 08:41:56","2022-04-20 08:41:56"
36,978-623-353-173-5,1,"2022-04-20 08:41:57","2022-04-20 08:41:57"
37,978-623-353-173-6,1,"2022-04-20 08:42:58","2022-04-20 08:42:58"
38,978-623-353-173-6,1,"2022-04-20 08:43:03","2022-04-20 08:43:03"
39,978-623-353-173-7,1,"2022-04-20 08:44:20","2022-04-20 08:44:20"
40,978-623-353-173-8,1,"2022-04-20 08:46:17","2022-04-20 08:46:17"
41,978-623-353-173-9,1,"2022-04-20 08:47:25","2022-04-20 08:47:25"
42,978-623-353-173-9,1,"2022-04-20 08:47:26","2022-04-20 08:47:26"
43,978-623-353-173-9,1,"2022-04-20 08:47:27","2022-04-20 08:47:27"
44,978-623-353-173-10,0,"2022-04-20 08:48:10","2022-04-20 09:17:34"
45,978-623-353-173-10,1,"2022-04-20 08:48:11","2022-04-20 08:48:11"
46,978-623-353-173-10,1,"2022-04-20 08:48:12","2022-04-20 08:48:12"
47,978-623-353-173-11,0,"2022-04-20 08:49:09","2022-04-20 09:21:05"
48,978-623-353-173-11,1,"2022-04-20 08:49:10","2022-04-20 08:49:10"
49,978-623-353-173-11,1,"2022-04-20 08:49:12","2022-04-20 08:49:12"
50,978-623-353-173-11,1,"2022-04-20 08:49:13","2022-04-20 08:49:13"
51,978-623-353-173-12,1,"2022-04-20 08:50:40","2022-04-20 08:50:40"
52,978-623-353-173-12,1,"2022-04-20 08:50:40","2022-04-20 08:50:40"
53,978-623-353-173-13,1,"2022-04-20 08:51:33","2022-04-20 08:51:33"
54,978-623-353-173-14,1,"2022-04-20 08:52:25","2022-04-20 08:52:25"
